iter	Passed	Remaining
0	60	30097
1	64	16072
2	68	11288
3	72	8992
4	77	7644
5	82	6831
6	88	6222
7	95	5878
8	102	5599
9	106	5231
10	114	5075
11	119	4856
12	123	4623
13	128	4446
14	131	4265
15	140	4259
16	147	4185
17	152	4081
18	157	3994
19	162	3889
20	166	3808
21	171	3723
22	178	3696
23	184	3655
24	188	3586
25	196	3587
26	202	3552
27	209	3528
28	213	3468
29	219	3435
30	225	3404
31	229	3349
32	234	3319
33	241	3308
34	246	3272
35	251	3246
36	257	3219
37	261	3182
38	267	3161
39	280	3223
40	299	3351
41	305	3333
42	310	3302
43	316	3277
44	322	3264
45	327	3228
46	332	3207
47	340	3210
48	345	3179
49	350	3150
50	355	3130
51	359	3098
52	365	3080
53	372	3072
54	376	3047
55	382	3030
56	400	3109
57	408	3112
58	413	3092
59	418	3071
60	423	3045
61	431	3047
62	438	3039
63	442	3014
64	447	2995
65	453	2983
66	458	2962
67	463	2946
68	470	2939
69	475	2921
70	481	2906
71	488	2902
72	494	2894
73	501	2887
74	506	2870
75	512	2858
76	516	2838
77	522	2824
78	528	2815
79	535	2810
80	539	2790
81	544	2776
82	550	2764
83	555	2751
84	563	2748
85	569	2742
86	575	2730
87	579	2711
88	587	2713
89	592	2700
90	600	2698
91	604	2681
92	613	2684
93	617	2667
94	621	2650
95	627	2640
96	632	2626
97	637	2615
98	642	2600
99	647	2588
100	651	2575
101	656	2563
102	663	2559
103	669	2550
104	674	2538
105	682	2537
106	688	2529
107	695	2523
108	699	2508
109	705	2500
110	710	2490
111	714	2476
112	720	2467
113	728	2466
114	732	2451
115	736	2439
116	741	2428
117	745	2414
118	752	2410
119	759	2404
120	763	2390
121	768	2381
122	773	2370
123	779	2364
124	784	2354
125	789	2343
126	793	2331
127	797	2318
128	802	2307
129	807	2297
130	811	2286
131	816	2275
132	822	2270
133	827	2259
134	832	2250
135	836	2239
136	841	2230
137	846	2219
138	851	2210
139	858	2207
140	863	2198
141	868	2189
142	875	2184
143	883	2184
144	890	2179
145	894	2168
146	899	2161
147	904	2150
148	908	2140
149	913	2131
150	917	2120
151	924	2116
152	928	2106
153	933	2097
154	939	2090
155	944	2081
156	949	2073
157	956	2069
158	960	2060
159	966	2053
160	975	2053
161	980	2044
162	986	2040
163	991	2030
164	996	2023
165	1001	2015
166	1006	2007
167	1011	1998
168	1015	1988
169	1021	1983
170	1025	1972
171	1030	1965
172	1035	1958
173	1040	1949
174	1046	1943
175	1053	1938
176	1057	1929
177	1062	1922
178	1069	1917
179	1412	2510
180	1444	2546
181	1456	2545
182	1474	2554
183	1489	2558
184	1504	2562
185	1510	2549
186	1518	2542
187	1523	2528
188	1528	2515
189	1534	2503
190	1542	2494
191	1549	2485
192	1553	2471
